siteservice,facilityid,new facilityid,uniformdatacode
UIS01,GREEN_I_4N_8_W,GREEN_I_4N_8_PT5,D_RCAT
UIS01,GREEN_I_5N_8_W,GREEN_I_5N_8_PT5,D_RCAT
UIS01,GREEN_I_8_3_W,GREEN_I_8_3_PT5,D_RCAT
UIS01,GREEN_I_8_5_W,GREEN_I_8_5_PT5,D_RCAT
UIS01,HAY_A_12_9_W,HAY_A_12_9_PT5,D_RCAT
UIS01,HAY_A_28N_9_W,HAY_A_28N_9_PT5,D_RCAT
UIS01,HAY_A_29N_9_W,HAY_A_29N_9_PT5,D_RCAT
UIS01,HAY_A_3N_9_W,HAY_A_3N_9_PT5,D_RCAT
UIS01,HAY_A_4C_9_W,HAY_A_4C_9_PT5,D_RCAT
UIS01,HAY_A_4N_9_W,HAY_A_4N_9_PT5,D_RCAT
UIS01,HEINTZ_A_15_32_W,HEINTZ_A_15_32_PT5,D_RCAT
UIS01,HEINTZ_A_16_32_W,HEINTZ_A_16_32_PT5,D_RCAT
UIS01,HEINTZ_A_20_32_W,HEINTZ_A_20_32_PT5,D_RCAT
UIS01,HEINTZ_A_37_32_W,HEINTZ_A_37_32_PT5,D_RCAT
UIS01,HEINTZ_A_39_32_W,HEINTZ_A_39_32_PT5,D_RCAT
UIS01,HEINTZ_A_9_32_W,HEINTZ_A_9_32_PT5,D_RCAT
UIS01,HEIN_B_24_32_W,HEIN_B_24_32_PT5,D_RCAT
UIS01,HEIN_B_41_32_W,HEIN_B_41_32_PT5,D_RCAT
UIS01,HEIN_B_8_32_W,HEIN_B_8_32_PT5,D_RCAT
UIS01,HERMAN_B_41_31_W,HERMAN_B_41_31_PT5,D_RCAT
UIS01,HERMAN_B_42_W,HERMAN_B_42_PT5,D_RCAT
UIS01,HOME_A_22_4_W,HOME_A_22_4_PT5,D_RCAT
UIS01,HOME_A_29_4_W,HOME_A_29_4_PT5,D_RCAT
UIS01,HOME_A_2_W,HOME_A_2_PT5,D_RCAT
UIS01,HOME_A_31_4_W,HOME_A_31_4_PT5,D_RCAT
UIS01,HOME_A_4_4_W,HOME_A_4_4_PT5,D_RCAT
UIS01,HOME_A_5_4_W,HOME_A_5_4_PT5,D_RCAT
UIS01,HORSE_A_21_16_W,HORSE_A_21_16_PT5,D_RCAT
UIS01,HORSE_A_21_1JI_W,HORSE_A_21_1JI_PT5,D_RCAT
UIS01,HORSE_A_21_1_W,HORSE_A_21_1_PT5,D_RCAT
UIS01,HORSE_A_21_21_W,HORSE_A_21_21_PT5,D_RCAT
UIS01,HORSE_A_21_27_W,HORSE_A_21_27_PT5,D_RCAT
UIS01,HORSE_A_21_9_W,HORSE_A_21_9_PT5,D_RCAT
UIS01,HORSE_A_22_31_W,HORSE_A_22_31_PT5,D_RCAT
UIS01,HORSE_A_22_32_W,HORSE_A_22_32_PT5,D_RCAT
UIS01,HORSE_A_22_33_W,HORSE_A_22_33_PT5,D_RCAT
UIS01,HOUST_A_17_8_W,HOUST_A_17_8_PT5,D_RCAT
UIS01,HOUST_D_3_16_W,HOUST_D_3_16_PT5,D_RCAT
UIS01,HOUST_D_W2_W,HOUST_D_W2_PT5,D_RCAT
UIS01,HOUS_A_31_16_W,HOUS_A_31_16_PT5,D_RCAT
UIS01,HOUS_A_32_16_W,HOUS_A_32_16_PT5,D_RCAT
UIS01,HOUS_A_6_16_W,HOUS_A_6_16_PT5,D_RCAT
UIS01,HOW_E_28N_29_W,HOW_E_28N_29_PT5,D_RCAT
UIS01,HOW_E_29C_29_W,HOW_E_29C_29_PT5,D_RCAT
UIS01,HOW_E_30C_29_W,HOW_E_30C_29_PT5,D_RCAT
UIS01,HOW_E_3C_29_W,HOW_E_3C_29_PT5,D_RCAT
UIS01,HOW_E_4N_29_W,HOW_E_4N_29_PT5,D_RCAT
UIS01,HOW_E_6N_29_W,HOW_E_6N_29_PT5,D_RCAT
UIS01,HOW_E_W2_W,HOW_E_W2_PT5,D_RCAT
UIS01,HUGHES_A_15_13_W,HUGHES_A_15_13_PT5,D_RCAT
UIS01,INC_A_17_33_W,INC_A_17_33_PT5,D_RCAT
UIS01,JEPPES_A_1_2_W,JEPPES_A_1_2_PT5,D_RCAT
UIS01,JOHN_E_1_34_W,JOHN_E_1_34_PT5,D_RCAT
UIS01,JOHN_E_3_34_W,JOHN_E_3_34_PT5,D_RCAT
UIS01,JOKER_A_1N1_9_W,JOKER_A_1N1_9_PT5,D_RCAT
UIS01,JOKER_A_1N2_9_W,JOKER_A_1N2_9_PT5,D_RCAT
UIS01,JOKER_A_1N3_9_W,JOKER_A_1N3_9_PT5,D_RCAT
UIS01,JOKER_A_26N1_9_W,JOKER_A_26N1_9_PT5,D_RCAT
UIS01,JOKER_A_26N2_9_W,JOKER_A_26N2_9_PT5,D_RCAT
UIS01,JOKER_A_27N1_9_W,JOKER_A_27N1_9_PT5,D_RCAT
UIS01,JOKER_A_27N2_9_W,JOKER_A_27N2_9_PT5,D_RCAT
UIS01,KUNZ_F_11_5_W,KUNZ_F_11_5_PT5,D_RCAT
UIS01,KUNZ_F_12_5_W,KUNZ_F_12_5_PT5,D_RCAT
UIS01,KUNZ_F_13C_8_W,KUNZ_F_13C_8_PT5,D_RCAT
UIS01,KUNZ_F_13N_8_W,KUNZ_F_13N_8_PT5,D_RCAT
UIS01,KUNZ_F_14N_8_W,KUNZ_F_14N_8_PT5,D_RCAT
UIS01,KUNZ_F_14_5_W,KUNZ_F_14_5_PT5,D_RCAT
UIS01,KUNZ_F_29N_5_W,KUNZ_F_29N_5_PT5,D_RCAT
UIS01,KUNZ_F_30N_5_W,KUNZ_F_30N_5_PT5,D_RCAT
UIS01,KUNZ_F_35N_8_W,KUNZ_F_35N_8_PT5,D_RCAT
UIS01,KUNZ_F_3C_5_W,KUNZ_F_3C_5_PT5,D_RCAT
UIS01,KUNZ_F_4N_5_W,KUNZ_F_4N_5_PT5,D_RCAT
UIS01,KUNZ_F_W1_W,KUNZ_F_W1_PT5,D_RCAT
UIS01,KURTZ_B_1_W,KURTZ_B_1_PT5,D_RCAT
UIS01,KURTZ_D_11_28_W,KURTZ_D_11_28_PT5,D_RCAT
UIS01,KURTZ_D_1_W,KURTZ_D_1_PT5,D_RCAT
UIS01,KURTZ_E_1_W,KURTZ_E_1_PT5,D_RCAT
UIS01,KURTZ_E_21_21_W,KURTZ_E_21_21_PT5,D_RCAT
UIS01,KURTZ_E_30_21_W,KURTZ_E_30_21_PT5,D_RCAT
UIS01,LDS_F_15_24_W,LDS_F_15_24_PT5,D_RCAT
UIS01,LDS_F_16_24_W,LDS_F_16_24_PT5,D_RCAT
UIS01,LDS_F_23_24_W,LDS_F_23_24_PT5,D_RCAT
UIS01,LDS_F_37_24_W,LDS_F_37_24_PT5,D_RCAT
UIS01,LDS_F_39_24_W,LDS_F_39_24_PT5,D_RCAT
UIS01,LDS_F_PB1_W,LDS_F_PB1_PT5,D_RCAT
UIS01,LINNEBUR_A_12_19_W,LINNEBUR_A_12_19_PT5,D_RCAT
UIS01,LIZ_A_18_17_W,LIZ_A_18_17_PT5,D_RCAT
UIS01,LIZ_A_1_W,LIZ_A_1_PT5,D_RCAT
UIS01,LIZ_A_21_17_W,LIZ_A_21_17_PT5,D_RCAT
UIS01,LIZ_A_22_17_W,LIZ_A_22_17_PT5,D_RCAT
UIS01,LIZ_A_31_17_W,LIZ_A_31_17_PT5,D_RCAT
